ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12592454,JF113025,01/14/2022 03:55:00 PM,067XX S MORGAN ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,TRUE,0724,007,16,68,26,1170805,1860170,2022,09/14/2023 03:41:59 PM,41.77178244,-87.64943693,"(41.771782439, -87.649436929)"
12601676,JF124024,01/13/2022 04:00:00 PM,031XX W AUGUSTA BLVD,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,FALSE,TRUE,1211,012,36,23,17,1155171,1906486,2022,09/14/2023 03:41:59 PM,41.89920607,-87.70550559,"(41.899206068, -87.705505587)"
12785595,JF346553,08/05/22 21:00,072XX S UNIVERSITY AVE,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,APARTMENT,TRUE,FALSE,0324,003,5,69,17,1185135,1857211,2022,09/14/2023 03:41:59 PM,41.76333797,-87.59700113,"(41.763337967, -87.597001131)"
12808281,JF373517,08/14/2022 02:00:00 PM,055XX W ARDMORE AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,FALSE,FALSE,1621,016,39,11,17,1138383,1937953,2022,09/14/2023 03:41:59 PM,41.98587528,-87.76640386,"(41.985875279, -87.766403857)"
12888104,JF469015,11/10/22 3:47,072XX S MAY ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,FALSE,FALSE,0733,007,17,68,15,1169903,1856822,2022,09/14/2023 03:41:59 PM,41.76261474,-87.65284046,"(41.76261474, -87.652840463)"
12978205,JG146937,08/01/22 22:00,028XX S KEELER AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,APARTMENT,FALSE,TRUE,1031,010,22,30,17,,,2022,09/14/2023 03:41:59 PM,,,
12990873,JG161829,08/17/2019 01:14:00 PM,008XX N KARLOV AVE,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,TRUE,TRUE,1111,011,37,23,17,1148899,1905351,2019,09/14/2023 03:41:59 PM,41.89621515,-87.72857205,"(41.89621515, -87.728572048)"
13041906,JG203447,10/15/2022 01:30:00 AM,051XX W WRIGHTWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,2521,025,31,19,08B,,,2022,09/14/2023 03:41:59 PM,,,
13045102,JG226663,03/30/2023 09:16:00 AM,080XX S DREXEL AVE,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,APARTMENT,FALSE,TRUE,0631,006,8,44,17,1183631,1851847,2023,09/14/2023 03:41:59 PM,41.7486538,-87.60268049,"(41.748653803, -87.602680492)"
13074891,JG262771,05/10/23 12:43,028XX N MANGO AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,FALSE,TRUE,2514,025,30,19,02,1137557,1918320,2023,09/14/2023 03:41:59 PM,41.93201543,-87.76991667,"(41.932015426, -87.769916668)"
13099339,JG291745,04/01/23 11:13,020XX N LAPORTE AVE,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,FALSE,TRUE,2522,025,26,19,17,1143059,1913090,2023,09/14/2023 03:41:59 PM,41.91756278,-87.74982812,"(41.917562778, -87.749828117)"
13121127,JG313964,06/22/2023 06:52:00 PM,015XX W NORTH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,AUTO / BOAT / RV DEALERSHIP,TRUE,FALSE,1433,014,1,24,11,1165854,1910738,2023,09/14/2023 03:41:59 PM,41.91065261,-87.66614577,"(41.91065261, -87.66614577)"
13124701,JG321999,06/30/2023 04:00:00 AM,007XX E 111TH ST,0583,STALKING,CYBERSTALKING,POLICE FACILITY / VEHICLE PARKING LOT,TRUE,FALSE,0531,005,9,50,08A,1183356,1831503,2023,09/14/2023 03:41:59 PM,41.69283384,-87.60431945,"(41.692833841, -87.60431945)"
13129199,JG327622,07/04/23 17:30,047XX S CALUMET AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,TRUE,FALSE,0224,002,3,38,07,1179230,1873766,2023,09/14/2023 03:41:59 PM,41.80890316,-87.61813919,"(41.80890316, -87.618139193)"
13158716,JG362691,11/09/18 0:00,017XX N NASHVILLE AVE,0265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,RESIDENCE,FALSE,FALSE,2513,025,29,25,02,1132147,1910836,2018,09/14/2023 03:41:59 PM,41.91157425,-87.78997228,"(41.911574252, -87.789972279)"
13176001,JG382803,02/01/23 14:00,058XX S MICHIGAN AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,APARTMENT,TRUE,TRUE,0232,002,20,40,17,1178158,1866236,2023,09/14/2023 03:41:59 PM,41.78826455,-87.62229949,"(41.788264552, -87.62229949)"
